name,genres,features,rating,price
Waves,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards",82,Free
Waves Demo,"Action, Indie, Casual","Single-player, Game demo",82,Free
Adam's Venture Episode 1: The Search For The Lost Garden,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",N/A,N/A
Starpoint Gemini,"RPG, Simulation","Single-player, Family Sharing",46,$13.99
Memoir '44 Online,"Casual, Simulation, Strategy","Single-player, Multi-player, Steam Achievements",N/A,Free
Vessel,"Action, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Family Sharing",81,$4.99
Project Zomboid,"Indie, RPG, Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Trading Cards, Steam Workshop, Partial Controller Support, Remote Play Together, Family Sharing",N/A,$19.99
Death Rally,"Action, Racing","Single-player, Multi-player, Co-op, Family Sharing",N/A,$9.99
Alan Wake,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",83,$14.99
Crysis 2 - Maximum Edition,Action,"Single-player, Partial Controller Support, Family Sharing",N/A,$29.99
Legend of Fae,"Casual, Indie","Single-player, Family Sharing",N/A,$9.99
Fowl Space,"Action, Indie","Single-player, Family Sharing",N/A,$4.99
Neverwinter,"Action, Adventure, Massively Multiplayer, RPG, Free To Play","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Trading Cards, In-App Purchases, Includes level editor",74,Free
Achron,"Indie, Strategy","Single-player, Multi-player, Family Sharing",54,$19.99
Achron Demo,N/A,Game demo,54,Free
Loki Demo - Norse Warrior,RPG,"Single-player, Game demo",61,Free
TrackMania Nations Forever,Racing,"Single-player, Multi-player, Includes level editor",N/A,Free
Sherlock Holmes - Nemesis,"Adventure, RPG","Single-player, Family Sharing",71,$9.99
inMomentum,"Indie, Racing","Single-player, Multi-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",59,$9.99
Dracula: Origin,"Adventure, Casual","Single-player, Family Sharing",70,$9.99
Data Jammers: FastForward,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support",N/A,Free
Data Jammers: FastForward Demo,N/A,Game demo,N/A,Free
Astro Tripper,"Action, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",N/A,$4.99
Alien Zombie Megadeath,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Leaderboards, Remote Play Together, Family Sharing",N/A,$4.99
Mutant Storm: Reloaded,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Full controller support, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$4.99
Sherlock Holmes - Nemesis Demo,Adventure,Game demo,71,Free
L.A. Noire,"Adventure, Strategy","Single-player, Steam Achievements, Partial Controller Support",83,$19.99
Dracula Origin Demo,Adventure,Game demo,70,Free
The Clockwork Man,"Indie, Casual","Single-player, Family Sharing",N/A,$6.99
The Clockwork Man: The Hidden World,"Adventure, Casual, Indie","Single-player, Family Sharing",N/A,$9.99
The Clockwork Man Demo,"Adventure, Indie, Casual","Single-player, Game demo",N/A,Free
The Clockwork Man: The Hidden World Demo,"Adventure, Indie, Casual","Single-player, Game demo",N/A,Free
Snuggle Truck,"Casual, Indie, Racing","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Leaderboards, Includes level editor, Family Sharing",N/A,$4.99
Sherlock Holmes: The Mystery of the Mummy,Adventure,Single-player,61,Free
Smash Cars,"Action, Racing, Sports","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$9.99
Sherlock Holmes: The Awakened (2008),Adventure,"Single-player, Family Sharing",72,$9.99
