name,genres,features,rating,price
Eaten Alive,Indie,"Single-player, Steam Trading Cards, Family Sharing",N/A,$1.99
Klepto,"Action, Indie, Simulation, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, VR Support, Stats, Steam Leaderboards, Family Sharing",N/A,$12.99
Lost Horizon Demo,Adventure,Game demo,77,Free
Dishonored 2,Action,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",86,$29.99
Omnipresent,"Indie, Strategy","Single-player, Family Sharing",N/A,$3.99
Lumber Island - That Special Place,Adventure,"Single-player, Full controller support, Family Sharing",N/A,$4.99
Dexterity Ball 3D,"Action, Indie, Racing","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",N/A,$6.99
Codename: Rogue Fleet,"Action, Free To Play, Indie","Multi-player, PvP, Online PvP, Partial Controller Support",N/A,Free
Zero Punctuation: Hatfall - Hatters Gonna Hat Edition,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",N/A,$4.99
GabeN: The Final Decision,"Casual, RPG","Single-player, Steam Trading Cards, Family Sharing",N/A,$0.99
Color Symphony 2,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",N/A,$9.99
nail'd,Racing,"Single-player, Partial Controller Support, Family Sharing",69,$4.99
Molly,N/A,"Full controller support, Native Steam Controller Support",N/A,N/A
The Consuming Shadow,Adventure,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Family Sharing",N/A,$0.99
Sky To Fly: Faster Than Wind,"Action, Adventure, Indie, Racing, Simulation, Sports","Single-player, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$3.99
ALPAGES : THE FIVE BOOKS,"Action, Adventure, Indie","Single-player, Family Sharing",N/A,$0.79
RPG Maker MV - Cover Art Characters Pack,"Design & Illustration, Web Publishing","Single-player, Downloadable Content, Partial Controller Support",N/A,$9.99
Luna Sky - Soundtrack,"Action, Adventure",Single-player,N/A,$1.99
Risen 2: Dark Waters,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Stats, Family Sharing",69,$9.99
Clergy Splode,"Action, Indie","Single-player, Steam Trading Cards, Family Sharing",N/A,$1.99
The Red Solstice Soundtrack,"Action, Indie, RPG, Strategy","Single-player, Multi-player, Co-op, Downloadable Content, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",N/A,$3.99
Dungelot: Shattered Lands,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",78,$9.99
Conquest of Elysium 4,"Indie, Strategy","Single-player, Multi-player, PvP, LAN PvP, Shared/Split Screen PvP, Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Includes level editor, Remote Play Together, Family Sharing",N/A,$24.99
The Dwarves,RPG,"Single-player, Steam Achievements, Full controller support, Remote Play on TV, Family Sharing",61,$39.99
World Ship Simulator,Simulation,"Single-player, Family Sharing",N/A,$5.99
Assault Android Cactus Original Soundtrack,N/A,N/A,N/A,$9.99
AI War: Fleet Command,"Indie, Strategy","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing",80,$9.99
Total War: WARHAMMER - Chaos Warriors,"Action, Strategy","Single-player, Multi-player, Downloadable Content, Family Sharing",N/A,$7.99
Lucky Rabbit Reflex!,"Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$9.99
Lords of Magic: Special Edition,"RPG, Strategy","Single-player, Family Sharing",N/A,$4.99
Black & White Bushido,Action,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$12.99
Zoom Player - Onyx 4K skin,"Audio Production, Utilities, Video Production",Downloadable Content,N/A,$4.99
Lords of New York,"Casual, Free To Play, Indie, RPG, Early Access","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Shared/Split Screen PvP, Cross-Platform Multiplayer, Steam Trading Cards, Remote Play Together",N/A,Free
Murder,"Adventure, Indie","Single-player, Full controller support, Family Sharing",N/A,$0.99
STEEL STRIDER,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$5.99
Working Faster in Modo,N/A,"Full controller support, Native Steam Controller Support",N/A,N/A
Battle Girls,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$2.49
Club Life,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$1.49
NA: Tenshouki WPK HD - Face CG Set / CG60,Strategy,"Single-player, Downloadable Content, Steam Cloud, Family Sharing",N/A,$2.99
Tidalis,"Casual, Indie","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Includes level editor, Remote Play Together, Family Sharing",75,$4.99
WARTILE,"RPG, Strategy","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",68,$19.99
TANE DLC: Chinese Electric SS4 Locomotive Pack,Simulation,"Single-player, Multi-player, Co-op, Downloadable Content, Family Sharing",N/A,$17.99
TANE DLC: SNCF BB 75000,Simulation,"Single-player, Multi-player, Co-op, Downloadable Content, Family Sharing",N/A,$14.99
MAGIX Music Maker 2016,N/A,N/A,N/A,N/A
Counter-Strike Nexon: Zombies - Oz's Trio,"Action, Casual, Free To Play, Massively Multiplayer","Single-player, Multi-player, MMO, Co-op, Downloadable Content, Steam Achievements, Steam Trading Cards, Captions available",N/A,N/A
Tales of Maj'Eyal - Embers of Rage,"Adventure, Indie, RPG","Single-player, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",N/A,$6.99
All My Gods,"Adventure, Casual, Simulation, Strategy","Single-player, Family Sharing",N/A,$3.99
Construction Simulator 2015: Vertical Skyline,"Casual, Simulation","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing",N/A,Free
To Azimuth,"Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",N/A,N/A
Evil Robot Traffic Jam HD,"Action, Casual, Indie, Strategy","Single-player, Tracked Controller Support, VR Only, Family Sharing",N/A,$4.99
BADBLOOD,"Casual, Indie, Sports","Multi-player, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing",N/A,$7.99
Endless Sky,"Action, Adventure, Indie, RPG, Simulation, Free To Play","Single-player, Steam Cloud",N/A,Free
Sun Dogs,"Adventure, Casual, Indie","Single-player, Includes level editor, Family Sharing",N/A,$9.99
Assetto Corsa - Dream Pack 2,"Indpendant, Course automobile, Simulation, Sport","Solo, Multijoueur, Contenu tlchargeable, Succs Steam, Compat. contrleurs partielle, Classements Steam, diteur de niveau inclus, Partage familial",N/A,"6,99"
Dandelion - Wishes brought to you - OST,Simulation,"Single-player, Downloadable Content, Family Sharing",N/A,$9.99
Melter Man,"Action, Adventure, Casual, Indie","Single-player, Partial Controller Support, Family Sharing",N/A,$1.99
SC2VN - The eSports Visual Novel,"Adventure, Casual, Free To Play, Indie, RPG, Simulation",Single-player,N/A,Free
Heaven's Hope - Special Edition,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing",74,$9.99
Voxel Turf,"Action, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Workshop, Partial Controller Support, Family Sharing",N/A,$7.99
Nex Machina,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",84,$19.99
GameGuru - Sci-Fi Mission to Mars Pack,Action,"Single-player, Multi-player, Downloadable Content",N/A,$19.99
Relive,"Adventure, Indie, Free To Play","Single-player, Steam Achievements",N/A,Free
Vikings - Wolves of Midgard,"Action, RPG","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing",N/A,$29.99
Pool Nation FX - Unlock All Locations,"Casual, Indie, Massively Multiplayer, Simulation, Sports, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen, Downloadable Content, Steam Achievements, Full controller support, Steam Workshop, Stats, Steam Leaderboards, Includes level editor, Includes Source SDK",N/A,$2.99
The Political Machine 2016,"Casual, Indie, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Family Sharing",N/A,N/A
One Hundred Ways,"Casual, Indie, Strategy","Single-player, Steam Trading Cards, Family Sharing",N/A,$7.99
Game Tycoon 2,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$7.99
Poppy Kart - Soundtrack,"Indie, Racing","Single-player, Downloadable Content, Full controller support, Family Sharing",N/A,$1.99
Vicky Saves the Big Dumb World,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",N/A,$0.99
Anoxemia - Soundtrack,"Adventure, Indie","Single-player, Downloadable Content, Family Sharing",N/A,$2.99
Hob,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",76,$19.99
This Book Is A Dungeon,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing",N/A,$0.79
Curvatron,"Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Remote Play Together",N/A,Free
Wasteland 2: Director's Cut,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Family Sharing",87,$29.99
Carrotting Brain,"Action, Indie, Early Access","Multi-player, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing",N/A,$8.99
ZombieZoid - Zenith Demo,"Action, Adventure","Single-player, Game demo, Full controller support",N/A,Free
Godot Engine,Game Development,"Partial Controller Support, Includes level editor",N/A,Free
Endless Sky - High DPI,"Action, Adventure, RPG, Simulation, Free To Play","Single-player, Downloadable Content",N/A,Free
Ragdoll Runners,"Indie, Simulation, Sports","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",N/A,$4.99
Fran Bow - Original Soundtrack,"Adventure, Indie","Single-player, Family Sharing",N/A,$4.99
DARTHY,"Casual, Indie","Single-player, Steam Trading Cards, Family Sharing",N/A,$0.99
Inside Me,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards",N/A,Free
Realms Edge,"Casual, Simulation","Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, VR Support, Stats, Family Sharing",N/A,$6.99
Official Guide - Epic Quest of the 4 Crystals,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$2.99
The Way of Life: DEFINITIVE EDITION,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",57,$14.99
TANE DLC: Chicago North Western GE Dash 9 44CW,Simulation,"Single-player, Multi-player, Co-op, Downloadable Content, Family Sharing",N/A,$12.99
Sacraboar,"Action, Strategy, Indie","Single-player, Multi-player, Steam Achievements, Steam Cloud, Family Sharing",N/A,$2.99
UTOPIA 9 - A Volatile Vacation,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play Together, Family Sharing",N/A,N/A
Bitardia,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Family Sharing",N/A,$5.99
Fill Up!,Casual,"Single-player, Family Sharing",N/A,$0.74
The Worm,"Casual, Indie","Single-player, Family Sharing",N/A,$2.99
Assassin's Creed Syndicate - Jack The Ripper,"Action, Adventure","Single-player, Downloadable Content, Partial Controller Support, Family Sharing",N/A,$14.99
Sacraboar Demo,"Action, Indie, Strategy","Single-player, Game demo",N/A,Free
Tabletop Simulator - Cosmic Encounter Connector,"Casual, Indie, RPG, Simulation, Strategy","Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Family Sharing",N/A, 36.00
Rocket League - Back to the Future Car Pack,"Action, Indie, Racing, Sports","Single-player, Multi-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Family Sharing",N/A,N/A
123 Slaughter Me Street,"Action, Indie","Single-player, Partial Controller Support, Family Sharing",N/A,$2.99
MEG 9: Lost Echoes,"Action, Indie, Strategy","Single-player, Partial Controller Support, Family Sharing",N/A,$11.99
Hairy Little Buggers,"Sexual Content, Nudity, Violent, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$14.99
A Fistful of Gun Soundtrack,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards",N/A,$2.99
Charlie Murder,"Action, Adventure, Indie, RPG","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$9.99
LEGO MARVEL's Avengers,"Action, Adventure","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$19.99
Siegecraft Commander,"Action, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",53,$19.99
DGU Demo,"Action, Adventure, Casual, Indie, Strategy","Single-player, Game demo, Full controller support",N/A,Free
OMSI 2 Add-On Projekt Gladbeck,Simulation,"Single-player, Downloadable Content, Partial Controller Support, Includes level editor, Family Sharing",N/A,$19.99
OMSI 2 Add-on Berlin X10,Simulation,"Single-player, Downloadable Content, Partial Controller Support, Includes level editor, Family Sharing",N/A,$24.99
Ares Omega,"Action, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing",49,$0.99
The Escapists: Walking Dead - Soundtrack,"Indie, Strategy","Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$19.99
Sublevel Zero Redux - Soundtrack,"Action, Indie","Single-player, Downloadable Content, Family Sharing",N/A,$6.99
Tomorrow,Adventure,"Single-player, Tracked Controller Support, VR Only",N/A,Free
Dangerous Golf,"Action, Indie, Sports","Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing",54,$19.99
"Warhammer 40,000: Armageddon - Ork Hunters",Strategy,"Single-player, Multi-player, Downloadable Content, Includes level editor, Family Sharing",N/A,$4.99
Veer,Indie,"Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",N/A,$4.99
Ninja Senki DX,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing",72,$4.99
Jet Set Knights,"Action, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing",N/A,$9.99
Stone Tales,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing",N/A,$0.99
Flight of the Paladin,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",N/A,$1.99
Pony Island,Indie,"Single-player, Steam Achievements, Steam Trading Cards, Stats, Family Sharing",86,$4.99
Zero Reflex : Black Eye Edition,"Action, Indie","Single-player, Family Sharing",N/A,$3.99
Combat Core,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, VR Support, Remote Play Together, Family Sharing",N/A,$15.99
Sentou Gakuen: Revival,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation, Free To Play, Early Access","Single-player, Multi-player, MMO, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Steam Timeline",N/A,Free
Staxel,"Indie, RPG, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Family Sharing",N/A,$19.99
Perfect Universe - Play with Gravity,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",N/A,$2.49
Robot Squad Simulator 2017,"Action, Indie, Simulation","Single-player, Steam Achievements, Family Sharing",N/A,$14.99
Alpha Polaris : A Horror Adventure Game,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards",N/A,Free
Valzar,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",N/A,$9.99
Turok,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",N/A,$19.99
Turok 2: Seeds of Evil,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing",N/A,$19.99
Stingray,Animation & Modeling,Steam Workshop,N/A,N/A
Super Ubie Island REMIX,"Action, Adventure, Indie","Single-player, Partial Controller Support, Family Sharing",N/A,$9.99
Disgaea PC,RPG,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",74,$19.99
RPG Maker MV - Essentials Set,"Design & Illustration, Web Publishing","Downloadable Content, Partial Controller Support",N/A,$9.99
Metal Reaper Online - Newbie Package,Massively Multiplayer,"MMO, Downloadable Content, Family Sharing",N/A,N/A
Silver Creek Falls - Chapter 1 Soundtrack,"Adventure, Indie","Single-player, Downloadable Content, Steam Achievements",N/A,$0.99
Lowglow,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$3.99
Sunken,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards",N/A,Free
Flat Kingdom Paper's Cut Edition,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$7.99
Sentou Gakuen: Revival - Kouhai Pack,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation, Free To Play","Single-player, Multi-player, MMO, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Steam Timeline",N/A,$9.99
Sentou Gakuen: Isekai Kerfuffle,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation, Free To Play","Single-player, Multi-player, MMO, Cross-Platform Multiplayer, Downloadable Content, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Steam Timeline",N/A,N/A
Professor Teaches Word 2016,Software Training,N/A,N/A,$11.99
Professor Teaches Access 2016,Software Training,N/A,N/A,$11.99
Professor Teaches Excel 2016,Software Training,N/A,N/A,$14.99
Professor Teaches PowerPoint 2016,Software Training,N/A,N/A,$14.99
Ant War: Domination,"Casual, Indie, Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing",N/A,$3.24
Enigmoon,"Indie, Early Access","Single-player, Full controller support, Steam Trading Cards, Family Sharing",N/A,$19.99
Angels That Kill - The Final Cut Soundtrack,"Adventure, Casual, Free To Play, Indie","Single-player, Additional High-Quality Audio, Family Sharing",N/A,Free
Asdivine Hearts,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Full controller support, Remote Play on TV, Family Sharing",N/A,$9.99
Astral Breakers,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing",N/A,$4.99
DarkMaus,"Action, Indie, RPG","Single-player, Partial Controller Support, Family Sharing",83,$4.99
"Resident Evil 0 "Shadow of Fear" Rebecca T-shirt","Action, Adventure","Single-player, Downloadable Content, Family Sharing",N/A,$0.99
Refunct,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",N/A,$2.99
Dust Fleet,"Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",N/A,$7.99
Vortex: The Gateway,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Family Sharing",N/A,$3.19
Gnomes Vs. Fairies: Greckel's Quest,"Action, Adventure, Casual, Indie, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, VR Supported, Steam Trading Cards, Remote Play Together, Family Sharing",N/A,$2.99
Twilight Struggle,"Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Stats, Steam Turn Notifications, Family Sharing",N/A,$9.99
Lighthockey,"Action, Casual, Indie, Sports","Single-player, Multi-player, Shared/Split Screen, Remote Play Together, Family Sharing",N/A,$1.99
Stop Online - Battle of Words,"Casual, Indie","Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Stats, Steam Leaderboards, Family Sharing",N/A,$4.99
NoseBound Demo,"Action, Adventure, Indie","Single-player, Game demo",N/A,Free
KartKraft,"Action, Casual, Racing, Simulation, Sports","Single-player, Full controller support, VR Supported, VR Support, Stats, Family Sharing",N/A,$24.99
ZombieZoid Zenith Soundtrack,"Action, Adventure","Single-player, Downloadable Content, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",N/A,$1.99
Axes and Arrows,"Action, Indie, Early Access","Single-player, Multi-player, Co-op, Shared/Split Screen, Full controller support, Stats, Commentary available, Remote Play Together, Family Sharing",N/A,$2.99
Minigolf VR,"Casual, Indie, Sports, Early Access","Single-player, Multi-player, Cross-Platform Multiplayer, Full controller support, Tracked Controller Support, VR Only, VR Support, Family Sharing",N/A,$0.99
Vanguard Princess Kurumi,"Action, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Downloadable Content, Steam Trading Cards, Captions available, Steam Workshop, Partial Controller Support, Remote Play Together, Family Sharing",N/A,$3.99
The Beginner's Guide Soundtrack,"Adventure, Indie","Single-player, Downloadable Content, Family Sharing",N/A,$12.99
Jotun: Original Soundtrack,"Action, Adventure, Indie",Single-player,N/A,$9.99
XIIZEAL Original Soundtrack,Action,N/A,N/A,$4.99
DELTAZEAL Original Soundtrack,Action,N/A,N/A,$4.99
Galagan's Island: Metagalactic Monstrosities,"Action, Casual, Indie","Single-player, Downloadable Content, Partial Controller Support, Family Sharing",N/A,Free
Game Type - Soundtrack,"Action, Indie","Single-player, Additional High-Quality Audio, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards",N/A,$0.99
Read Only Memories - Sounds of Neo-SF,Adventure,"Single-player, Downloadable Content, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",N/A,$3.99
METAL GEAR SOLID V: THE PHANTOM PAIN - Fatigues (Naked Snake),"Action, Adventure","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$0.99
Umineko When They Cry - Question Arcs,Adventure,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",N/A,$24.99
METAL GEAR SOLID V: THE PHANTOM PAIN - Sneaking Suit (Naked Snake),"Action, Adventure","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$0.99
NOBUNAGA'S AMBITION: Tenshouki WPK HD Version - GAMECITY,Strategy,"Single-player, Downloadable Content, Partial Controller Support, Steam Cloud, Family Sharing",N/A,$54.99
METAL GEAR SOLID V: THE PHANTOM PAIN - Tuxedo,"Action, Adventure","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$0.99
METAL GEAR SOLID V: THE PHANTOM PAIN - Sneaking Suit (The Boss),"Action, Adventure","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$0.99
METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA),"Action, Adventure","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$0.99
METAL GEAR SOLID V: THE PHANTOM PAIN - Western Tack,"Action, Adventure","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$0.99
METAL GEAR SOLID V: THE PHANTOM PAIN - Parade Tack,"Action, Adventure","Single-player, Multi-player, Downloadable Content, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Steam Leaderboards, Family Sharing",N/A,$0.99
Ratings War,"Indie, RPG","Single-player, Steam Achievements, Captions available, Steam Cloud, Family Sharing",N/A,$4.99
Ratings War Demo,"Indie, RPG","Single-player, Game demo, Steam Achievements, Captions available, Steam Cloud",N/A,Free
Roses and Gems,"Action, Indie","Single-player, Steam Achievements, Family Sharing",N/A,$4.99
Eclipse Edge of Light,"Adventure, Indie","Single-player, Steam Achievements, Tracked Controller Support, VR Supported, Family Sharing",N/A,$14.99
Alekhine's Gun,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing",40,$14.99
"1,000 Heads Among the Trees",Indie,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",N/A,$4.99
"FL337 - "Fleet"","Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing",N/A,$4.99
Welcome to Boon Hill,"Indie, Simulation","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing",N/A,$7.99
